program_id,lineage,independent_datasets_both_scores_positive,support_datasets,formal_primary_expected_direction_datasets,classification,within_cell_state_replicated,within_cell_state_reason,advanced_sensitivity_meta_available,advanced_sensitivity_fixed_ci_excludes_zero_both_scores,advanced_sensitivity_random_ci_excludes_zero_both_scores,advanced_sensitivity_weight_rule_passes_both_scores,pan_cirrhotic_transportable,pan_cirrhotic_reason,assay_transfer_class,assay_transfer_reason,spatial_status
RAM2019_ENDO_1,endothelial,1,GSE202379,GSE202379,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,True,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_ENDO_2,endothelial,3,GSE202379;GSE244832;GSE290642_human,GSE202379,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,True,True,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_ENDO_3,endothelial,3,GSE202379;GSE244832;GSE290642_human,GSE202379,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,True,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_ENDO_4,endothelial,3,GSE202379;GSE244832;GSE290642_human,GSE202379,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,True,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_ENDO_5,endothelial,4,GSE181483_human;GSE202379;GSE244832;GSE290642_human,GSE202379,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,True,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_ENDO_6_SAENDO1,endothelial,4,GSE181483_human;GSE202379;GSE244832;GSE290642_human,GSE202379,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,True,False,False,True,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_ENDO_7_SAENDO2,endothelial,1,GSE244832,,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,False,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_MAC_SIG_A_SAM,macrophage_monocyte,3,GSE181483_human;GSE202379;GSE244832,,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,False,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_MAC_SIG_B_SAM,macrophage_monocyte,3,GSE181483_human;GSE202379;GSE244832,,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,False,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_MAC_SIG_C_KC,macrophage_monocyte,1,GSE202379,,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,False,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_MAC_SIG_D_TMO,macrophage_monocyte,0,,,NO_EXPECTED_DIRECTION_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,False,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_MAC_SIG_E_TMO,macrophage_monocyte,2,GSE202379;GSE244832,,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,False,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_MAC_SIG_F_CDC1,macrophage_monocyte,2,GSE181483_human;GSE244832,,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,False,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_MES_HSC,mesenchymal_hsc_myofibroblast,3,GSE181483_human;GSE202379;GSE244832,,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,False,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_MES_MESOTHELIAL,mesenchymal_hsc_myofibroblast,3,GSE181483_human;GSE202379;GSE244832,,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,False,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_MES_SAMES,mesenchymal_hsc_myofibroblast,3,GSE181483_human;GSE202379;GSE244832,GSE202379,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,False,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_MES_VSMC,mesenchymal_hsc_myofibroblast,1,GSE202379,GSE202379,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,False,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_SAMES_A,mesenchymal_hsc_myofibroblast,2,GSE181483_human;GSE244832,,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,False,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
RAM2019_SAMES_B,mesenchymal_hsc_myofibroblast,2,GSE202379;GSE244832,GSE202379,INDEPENDENT_DIRECTIONAL_SUPPORT,False,no program has two comparable author-label formal-primary cohorts with an eligible meta-analysis,False,False,False,False,False,within-state replication prerequisite not met; etiology and assay requirements unresolved,UNRESOLVED,no comparable eligible scRNA/snRNA endpoint pair supports a formal assay-transfer label,NOT_EVALUATED_INELIGIBLE_PANEL
